sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_names
6.4,3.1,5.5,1.8,2,virginica
4.5,2.3,1.3,0.3,0,setosa
6.3,3.3,6.0,2.5,2,virginica
5.1,3.7,1.5,0.4,0,setosa
5.9,3.0,5.1,1.8,2,virginica
6.1,3.0,4.9,1.8,2,virginica
6.1,2.6,5.6,1.4,2,virginica
6.5,3.0,5.2,2.0,2,virginica
5.7,2.6,3.5,1.0,1,versicolor
6.6,3.0,4.4,1.4,1,versicolor
5.1,3.4,1.5,0.2,0,setosa
6.7,3.3,5.7,2.1,2,virginica
6.7,3.1,4.4,1.4,1,versicolor
6.1,2.8,4.0,1.3,1,versicolor
6.3,3.4,5.6,2.4,2,virginica
4.9,3.1,1.5,0.1,0,setosa
5.4,3.4,1.7,0.2,0,setosa
5.7,2.5,5.0,2.0,2,virginica
5.4,3.9,1.7,0.4,0,setosa
5.7,3.0,4.2,1.2,1,versicolor
